ID,FullName,DOB,Level,Position,TotalPoints,Rank,Stars,Team
U13-007,Lucas Ahmed,2012-02-28,4,Forward,95,1,5,U13
U13-003,Noah Singh,2012-01-30,4,Forward,92,2,4,U13
U13-070,Player 70,2012-12-31,3,Forward,90,2,4,U13
U13-013,Player 13,2012-01-03,4,Forward,88,5,3,U13
U13-001,Zayd Karim,2012-04-15,3,Midfielder,87,4,3,U13
U13-010,William Kim,2012-11-21,3,Forward,85,3,3,U13
U13-005,Ethan Roy,2012-07-19,2,Midfielder,80,5,2,U13
U13-009,Henry Zhao,2012-09-03,3,Defender,78,6,2,U13
U13-015,Player 15,2012-01-05,3,Midfielder,77,7,2,U13
U13-002,Liam Chen,2012-06-22,2,Defender,75,6,2,U13
U13-006,Aiden Patel,2012-05-05,3,Defender,74,7,2,U13
U13-012,Player 12,2012-01-02,3,Defender,72,9,2,U13
U13-008,Benjamin Tran,2012-08-12,2,Midfielder,70,9,1,U13
U13-004,Mason Ali,2012-03-10,3,Goalkeeper,68,8,1,U13
U13-011,Player 11,2012-01-01,2,Midfielder,65,10,1,U13
U13-014,Player 14,2012-01-04,1,Goalkeeper,60,12,1,U13
